distance_km,duration_min,traffic_level,weather,time_of_day,demand_level,passengers,ride_price
21.85,39.5,low,rainy,morning,low,2,858.79
12.74,29.1,medium,clear,night,low,1,707.78
24.15,49.9,medium,clear,morning,high,1,1268.0
19.77,51.9,high,clear,morning,low,2,1003.57
3.36,8.2,low,clear,morning,low,2,236.16
67.73,121.0,,clear,evening,low,4,3366.37
21.5,38.3,low,,night,low,1,1003.48
22.18,53.5,medium,clear,night,low,4,1273.05
4.28,12.3,medium,clear,morning,,1,254.54
13.05,27.2,low,clear,evening,high,1,696.92
10.89,20.6,low,clear,morning,low,3,480.97
26.01,44.5,low,rainy,evening,high,4,1469.97
18.31,47.7,high,clear,night,low,3,1310.8
23.18,54.8,,clear,evening,low,1,1059.46
12.86,39.7,high,clear,evening,high,1,1092.43
6.98,26.7,high,clear,morning,high,2,641.12
15.88,42.0,medium,rainy,night,low,2,981.0
2.54,15.2,medium,clear,evening,low,4,370.55
23.31,42.0,low,rainy,morning,low,2,890.6
17.98,41.9,low,clear,morning,low,1,630.65
21.42,67.9,high,clear,morning,low,4,1387.54
10.44,29.3,medium,,,low,1,496.99
27.2,50.5,,rainy,morning,,1,1021.04
25.09,51.4,medium,clear,evening,low,2,1123.12
21.97,59.0,medium,clear,evening,high,2,1410.3
6.09,22.6,high,clear,morning,high,3,666.15
13.49,27.1,medium,clear,evening,low,4,757.33
1.99,3.3,low,rainy,night,low,4,303.61
5.0,11.3,low,clear,evening,low,2,304.4
19.38,41.1,low,clear,evening,low,4,909.03
21.06,44.1,medium,clear,morning,high,3,1177.45
27.12,59.8,high,clear,night,high,1,1981.02
9.66,24.2,medium,clear,morning,,4,706.02
10.88,21.2,low,clear,morning,high,1,540.71
13.57,36.2,low,clear,night,high,3,898.9
5.95,18.8,medium,clear,evening,high,4,669.95
4.33,21.1,high,clear,evening,,1,438.62
13.74,23.9,low,clear,evening,low,2,607.69
6.97,11.9,low,clear,evening,low,2,292.38
19.02,36.4,medium,clear,morning,low,4,893.05
12.69,17.4,,clear,morning,low,1,483.16
23.45,50.7,high,clear,morning,high,3,1570.81
19.85,29.8,low,clear,morning,low,2,638.39
9.3,7.5,low,clear,night,low,1,378.8
23.44,49.4,high,clear,morning,low,3,1222.07
22.69,55.1,low,clear,evening,low,4,1067.89
,21.2,low,clear,evening,low,3,525.93
