"YearsExperience","Age","EducationLevel","CityTier","SkillScore","Salary"
"0.4","21","High School","Tier1","48","37300"
"0.5","22","Bachelor","Tier1","50","45000"
"0.6","23","Bachelor","Tier1","51","45900"
"0.8","22","Bachelor","Tier1","52","47100"
"0.9","23","High School","Tier1","53","41500"
"1","24","Bachelor","Tier2","55","46100"
"1.1","22","Bachelor","Tier2","56","45300"
"1.2","23","Bachelor","Tier2","50","44400"
"1.4","24","High School","Tier3","51","36600"
"1.5","23","Bachelor","Tier3","53","44200"
"1.6","24","Bachelor","Tier1","54","50600"
"1.7","25","Bachelor","Tier1","55","51500"
"1.8","23","High School","Tier1","56","44200"
"2","24","Bachelor","Tier1","58","52200"
"2.1","25","Bachelor","Tier1","52","51200"
"2.2","23","Master","Tier2","55","55600"
"2.3","25","Bachelor","Tier2","54","50000"
"2.4","26","Bachelor","Tier2","56","51100"
"2.6","24","Bachelor","Tier3","57","48200"
"2.7","25","Bachelor","Tier3","58","49000"
"2.8","26","Master","Tier1","61","61900"
"2.9","24","Bachelor","Tier1","54","54700"
"3","26","Bachelor","Tier1","55","55600"
"3.2","27","Bachelor","Tier1","56","56800"
"3.3","25","Bachelor","Tier1","57","56000"
"3.4","26","Master","Tier2","61","60700"
"3.5","27","Bachelor","Tier2","60","55100"
"3.6","25","Bachelor","Tier2","61","55900"
"3.8","27","Bachelor","Tier3","55","52800"
"3.9","28","Bachelor","Tier3","57","54000"
"4","26","Master","Tier1","60","65200"
"4.1","27","Bachelor","Tier1","59","59600"
"4.2","28","Bachelor","Tier1","60","60400"
"4.4","26","Bachelor","Tier1","62","61900"
"4.5","28","Bachelor","Tier1","63","62800"
"4.6","29","Master","Tier2","59","65400"
"4.7","27","Bachelor","Tier2","58","58100"
"4.8","28","Bachelor","Tier2","60","59200"
"5","29","Bachelor","Tier3","61","57900"
"5.1","27","Bachelor","Tier3","62","58800"
"5.2","29","Master","Tier1","65","71700"
"5.3","30","Bachelor","Tier1","65","66300"
"5.4","28","Bachelor","Tier1","59","63700"
"5.6","29","Bachelor","Tier1","60","64900"
"5.7","30","Bachelor","Tier1","61","65800"
"5.8","28","Master","Tier2","65","70500"
"5.9","29","Bachelor","Tier2","64","64800"
"6","31","Bachelor","Tier2","65","65700"
"6.2","29","Bachelor","Tier3","67","63000"
"6.3","30","Bachelor","Tier3","61","62100"
"6.4","31","Master","Tier1","64","75000"
